Change Component Footprint: Designator=VT5 Old Footprint=TO-220AB New Footprint=D882
Change Component Footprint: Designator=VT9 Old Footprint=TO-220AB New Footprint=D882
Change Component Footprint: Designator=VT13 Old Footprint=TO-220AB New Footprint=D882
Change Component Footprint: Designator=VT17 Old Footprint=TO-220AB New Footprint=D882
Change Component Footprint: Designator=VT21 Old Footprint=TO-220AB New Footprint=D882
Change Component Comment : Designator=VT5 Old Comment=NPN New Comment=D882
Change Component Comment : Designator=VT9 Old Comment=NPN New Comment=D882
Change Component Comment : Designator=VT13 Old Comment=NPN New Comment=D882
Change Component Comment : Designator=VT17 Old Comment=NPN New Comment=D882
Change Component Comment : Designator=VT21 Old Comment=NPN New Comment=D882
Change Component Description : Designator=VT5 Old Description= New Description=D882
Change Component Description : Designator=VT9 Old Description= New Description=D882
Change Component Description : Designator=VT13 Old Description= New Description=D882
Change Component Description : Designator=VT17 Old Description= New Description=D882
Change Component Description : Designator=VT21 Old Description= New Description=D882
